packet_id,send_time_s,recv_time_s,latency_s,expected_id,lost
30,48.368,46.87498378753662,-1.493016212463381,423,True
31,48.568,47.09981679916382,-1.4681832008361795,424,True
32,48.768,47.100075006484985,-1.6679249935150153,425,True
33,48.968,47.17674493789673,-1.791255062103275,426,True
34,49.168,47.65089178085327,-1.5171082191467278,427,True
35,49.368,47.65102791786194,-1.7169720821380636,428,True
36,49.568,47.651044845581055,-1.9169551544189432,429,True
37,49.768,47.65105986595154,-2.1169401340484626,430,True
38,49.968,47.67472791671753,-2.2932720832824742,431,True
39,50.168,47.77640080451965,-2.391599195480346,432,True
40,50.368,47.877177715301514,-2.4908222846984884,433,True
41,50.568,48.17201089859009,-2.39598910140991,434,True
42,50.768,48.17212677001953,-2.5958732299804694,435,True
43,50.968,48.17584466934204,-2.7921553306579625,436,True
44,51.168,48.27476787567139,-2.8932321243286125,437,True
45,51.368,48.43172478675842,-2.9362752132415793,438,True
46,51.568,48.4746208190918,-3.093379180908201,439,True
47,51.768,48.575010776519775,-3.1929892234802253,440,True
48,51.968,48.67479085922241,-3.2932091407775914,441,True
49,52.168,48.77840876579285,-3.3895912342071526,442,True
50,52.368,48.878811836242676,-3.4891881637573263,443,True
51,52.568,48.97465968132019,-3.5933403186798074,444,True
52,52.768,49.07479381561279,-3.6932061843872077,445,True
53,52.968,49.174919843673706,-3.7930801563262975,446,True
54,53.168,49.275274991989136,-3.8927250080108635,447,True
55,53.368,49.37372183799744,-3.9942781620025656,448,True
56,53.568,49.4784209728241,-4.089579027175901,449,True
57,53.768,49.58079385757446,-4.187206142425538,450,True
58,53.968,49.68215298652649,-4.285847013473514,451,True
59,54.168,49.78523874282837,-4.38276125717163,452,True
60,54.368,49.874982833862305,-4.493017166137697,453,True
61,54.568,49.97694683074951,-4.591053169250486,454,True
62,54.768,50.078189849853516,-4.689810150146485,455,True
63,54.968,50.17509460449219,-4.792905395507816,456,True
